epoch,train_cost,train_acc,test_cost,test_acc,worker_cost_mean,worker_acc_mean,epoch_time,total_time
0,3.8137366352844237,0.11004,3.8335389892578124,0.1076,3.813736641769409,0.11004,157.5536916255951,160.54191517829895
1,3.401750250854492,0.16198,3.4335971992492675,0.1573,3.401750258026123,0.16198,153.26251745224,313.92856526374817
2,3.170675371246338,0.20212,3.214714947891235,0.1987,3.1706753534698486,0.20212,154.3755121231079,468.30981969833374
3,2.837142398071289,0.2609,2.905755979156494,0.2474,2.83714238822937,0.2609,156.32606863975525,624.650074005127
4,2.7425775022888184,0.28956,2.839681526184082,0.2698,2.742577482299805,0.28956,158.48785090446472,783.153772354126
5,2.625838287811279,0.3102,2.7323612800598145,0.2893,2.6258382695007323,0.3102,159.84350085258484,943.0073683261871
6,2.373239702835083,0.36102,2.4918056678771974,0.336,2.373239706878662,0.36102,158.55496883392334,1101.577078819275
7,2.1622915798187257,0.4111,2.316242211151123,0.374,2.162291561203003,0.4111,156.999107837677,1258.5905780792236
8,2.26577131362915,0.38692,2.436040922164917,0.3549,2.2657713029479982,0.38692,156.67802453041077,1415.276365995407
9,2.072281144256592,0.4305,2.2697559127807616,0.3912,2.072281144256592,0.4305,156.9733545780182,1572.2497205734253
10,2.059930832595825,0.4316,2.2776674423217775,0.3945,2.0599308380126953,0.4316,160.40898609161377,1732.664719581604
11,1.9496101037979126,0.45792,2.1829149936676027,0.4088,1.9496101024627686,0.45792,159.32264804840088,1891.9913873672485
12,1.831046367111206,0.4845,2.1008116718292236,0.4311,1.8310463763427733,0.48452,159.08906888961792,2051.08647108078
13,1.8167002590942383,0.48286,2.106884489059448,0.4195,1.8167002618026733,0.48286,160.64274859428406,2211.733227491379
14,1.7154229855346679,0.5189,2.0305349384307863,0.4483,1.715422979736328,0.5189,159.75266456604004,2371.485892057419
15,1.6170096285247804,0.53688,1.9807231323242187,0.4555,1.6170096276855468,0.53688,158.7692346572876,2530.262885570526
16,1.7409395420837401,0.50924,2.1119257606506348,0.4367,1.7409395397567748,0.50924,157.94270515441895,2688.2133526802063
17,1.5142573237228394,0.55922,1.910991146850586,0.4718,1.5142573264312744,0.55922,158.14383149147034,2846.3571841716766
18,1.5147909533309936,0.564,1.9486426807403565,0.4658,1.5147909478378296,0.564,159.3754644393921,3005.738327026367
19,1.5472502866363524,0.54496,2.040409376907349,0.4425,1.5472502961730956,0.54496,161.02283692359924,3166.7611639499664
20,1.756050086631775,0.50024,2.2785120449066163,0.4109,1.7560501037597656,0.50024,159.46896719932556,3326.230131149292
21,1.3893724031829835,0.59618,1.926052813911438,0.4766,1.3893723955917359,0.59618,160.83428812026978,3487.0644192695618
22,1.3862871298599244,0.58802,1.9701250190734862,0.4674,1.3862871364212037,0.58802,158.77391743659973,3645.8481018543243
23,1.3180594171524047,0.61978,1.9080774589538574,0.4801,1.3180594078063965,0.61978,159.06022429466248,3804.908326148987
24,1.4430668384933472,0.57242,2.078461764526367,0.4515,1.4430668384170533,0.57242,159.16114592552185,3964.0913338661194
25,1.301899683151245,0.6122,1.9601790813446045,0.4744,1.30189968585968,0.6122,159.94923901557922,4124.040572881699
26,1.2971173469543458,0.61504,1.9576674690246583,0.4705,1.2971173379135132,0.61504,160.97133207321167,4285.01190495491
27,1.3644197152328492,0.59238,2.103347989654541,0.452,1.3644197170257568,0.59238,160.6732783317566,4445.687191963196
28,1.294545333442688,0.61124,2.061271879196167,0.4584,1.2945453562164306,0.61124,159.59860515594482,4605.2878041267395
29,1.334759366645813,0.60268,2.113980852508545,0.4536,1.33475936378479,0.60268,159.51162266731262,4764.799426794052
30,1.0707082223892213,0.68244,1.8907297481536864,0.4938,1.070708226966858,0.68244,158.85347747802734,4923.6529042720795
31,1.1405226022338868,0.65458,1.9927337791442872,0.4736,1.1405225911712646,0.65458,160.9168450832367,5084.573758125305
32,1.1673932731246948,0.6457,2.0706144622802736,0.4664,1.1673932876205444,0.6457,158.26927733421326,5242.843035459518
33,1.01236821269989,0.69432,1.9238531356811523,0.4894,1.012368217086792,0.69432,159.23413562774658,5402.077171087265
34,1.015014422454834,0.6937,1.9462462268829346,0.4888,1.0150144268417358,0.6937,160.22937846183777,5562.306549549103
35,1.0150226322174072,0.69582,1.9976172275543214,0.4822,1.0150226407051086,0.69582,159.2600326538086,5721.566582202911
36,1.001415119934082,0.6933,2.036837466049194,0.4783,1.001415117225647,0.6933,159.52051496505737,5881.087097167969
37,0.9717731062316894,0.7022,2.02596028175354,0.4815,0.9717730994415283,0.7022,160.2324182987213,6041.31951546669
38,0.9203101496696472,0.7165,1.9862244731903076,0.4802,0.9203101351737976,0.7165,159.43856382369995,6200.75807929039
39,0.9692818756675721,0.70276,2.069855703353882,0.4751,0.9692818813323975,0.70276,158.92422246932983,6359.68230175972
40,0.9899442026519776,0.69618,2.058793257904053,0.4629,0.9899441929244995,0.69618,159.05888271331787,6518.74319434166
41,0.786322377090454,0.7629,1.9280212768554688,0.501,0.7863223844146728,0.7629,158.79495978355408,6677.540173530579
42,1.0064233281898498,0.68248,2.21621180229187,0.4493,1.006423327293396,0.68248,163.03445410728455,6840.58803319931
43,0.9261424278450012,0.71056,2.2023671115875243,0.4635,0.9261424175262452,0.71056,162.3340015411377,7002.9240436553955
44,0.9129062452507019,0.71646,2.2000347217559812,0.4592,0.912906236743927,0.71646,158.79301285743713,7161.717056512833
45,0.7693566014480591,0.76124,2.0700611034393313,0.4846,0.7693565923881531,0.76124,158.50444388389587,7320.2215003967285
46,0.7750718133544922,0.76104,2.0748378086090087,0.4801,0.7750718082809448,0.76104,160.41103196144104,7480.63253235817
47,0.7829231754112244,0.75696,2.114806583786011,0.4756,0.782923177947998,0.75696,159.42586278915405,7640.058395147324
48,0.7678358616256714,0.76736,2.092577456665039,0.4758,0.7678358757400513,0.76736,157.02528357505798,7797.083678722382
49,1.0270924070358276,0.68076,2.5281833251953123,0.4366,1.027092417831421,0.68076,160.89896035194397,7957.982639074326
